ExpID;MeasureDate;LeafID;An;Ci;PPFD;PhiPS2
GC1;01.11.2016;n1-l-a1-l5;1.773494228;369.3309477;124.4857635;0.595305891
GC1;01.11.2016;n1-l-a1-l5;1.53123733;372.4825489;98.76952362;0.622624686
GC1;01.11.2016;n1-l-a1-l5;-0.26022951;394.8617657;80.64691925;0.646499467
GC1;01.11.2016;n1-l-a1-l5;-0.033239928;392.6178322;59.06415176;0.665254059
GC1;01.11.2016;n1-l-a1-l5;-1.067019306;407.1486926;40.71450806;0.682279438
GC1;01.11.2016;n1-l-a1-l5;-1.152805769;409.078555;31.26051903;0.690833907
GC1;01.11.2016;n1-l-a1-l5;-2.572258645;435.0059456;0.466378629;0.737605663
GC1;01.11.2016;n1-h-a1-l7;13.09565222;325.635371;1298.509521;0.295098931
GC1;01.11.2016;n1-h-a1-l7;12.8695278;300.6603519;1001.361267;0.347763033
GC1;01.11.2016;n1-h-a1-l7;10.68774632;324.2791626;501.1934509;0.477801277
GC1;01.11.2016;n1-h-a1-l7;4.5648267;359.977916;201.0382843;0.600031229
GC1;01.11.2016;n1-h-a1-l7;1.263910224;383.2936032;124.6594315;0.636736558
GC1;01.11.2016;n1-h-a1-l7;0.18699168;390.784015;98.92578125;0.653936446
GC1;01.11.2016;n1-h-a1-l7;-1.391961814;404.0282827;80.88230133;0.664626913
GC1;01.11.2016;n1-h-a1-l7;-2.274146435;411.6909624;59.27869034;0.675269503
GC1;01.11.2016;n1-h-a1-l7;-3.569924836;423.7960337;40.99142456;0.676593685
GC1;01.11.2016;n1-h-a1-l7;-3.648465283;425.3230799;28.1952343;0.677586069
GC1;01.11.2016;n1-h-a1-l7;-5.117910145;440.6163985;0.849929035;0.703540274
GC1;01.11.2016;n2-h-a1-l7;15.40618309;325.4178534;1299.037109;0.319411895
GC1;01.11.2016;n2-h-a1-l7;13.86295403;305.8970715;1001.223206;0.382231441
GC1;01.11.2016;n2-h-a1-l7;10.72183271;328.8522936;501.2626038;0.519397852
GC1;01.11.2016;n2-h-a1-l7;2.94611962;367.3893803;201.065506;0.628155391
GC1;01.11.2016;n2-h-a1-l7;0.836751361;386.9870575;124.7853546;0.660479629
GC1;01.11.2016;n2-h-a1-l7;-0.63422612;397.0181659;99.1182785;0.674951437
GC1;01.11.2016;n2-h-a1-l7;-1.867820225;406.5310398;81.10554504;0.685923905
GC1;01.11.2016;n2-h-a1-l7;-2.615888725;412.3703231;59.43877411;0.695846554
GC1;01.11.2016;n2-h-a1-l7;-4.557194953;429.3940452;41.15294266;0.70232101
GC1;01.11.2016;n2-h-a1-l7;-4.196567653;426.4035426;28.35538483;0.704984935
GC1;01.11.2016;n2-h-a1-l7;-6.199072177;446.2914387;0.94423753;0.737812567
GC1;01.11.2016;n3-h-a1-l7;18.01195824;309.5713152;1300.30542;0.334422697
GC1;01.11.2016;n3-h-a1-l7;16.24010269;286.8793079;998.3981323;0.406245926
GC1;01.11.2016;n3-h-a1-l7;12.8145022;306.2444696;498.1264343;0.5473029
GC1;01.11.2016;n3-h-a1-l7;6.415041032;339.9655246;201.8854675;0.653392417
GC1;01.11.2016;n3-h-a1-l7;2.780720497;368.5920455;125.3260574;0.687470044
GC1;01.11.2016;n3-h-a1-l7;0.522789777;385.7135844;99.52387238;0.685362289
GC1;01.11.2016;n3-h-a1-l7;-0.542454459;396.5491364;81.54614258;0.692218058
GC1;01.11.2016;n3-h-a1-l7;-1.500520683;408.1279075;59.85560608;0.699514291
GC1;01.11.2016;n3-h-a1-l7;-2.255568222;417.1329589;41.52947617;0.70389224
GC1;01.11.2016;n3-h-a1-l7;-2.646901624;423.7030803;28.66766167;0.707405006
GC1;01.11.2016;n3-h-a1-l7;-4.98214392;455.9816667;0.940026402;0.742123699
GC1;04.11.2016;n2-m-a1-l5;24.62884923;335.1421901;1298.607544;0.292543053
GC1;04.11.2016;n2-m-a1-l5;23.95683565;304.1746919;998.9197388;0.380645717
GC1;04.11.2016;n2-m-a1-l5;17.83831779;300.4225596;501.1262512;0.538616787
GC1;04.11.2016;n2-m-a1-l5;8.913197359;346.5837109;201.3774719;0.63949588
GC1;04.11.2016;n2-m-a1-l5;6.62534737;356.2159257;124.9394226;0.676363098
GC1;04.11.2016;n2-m-a1-l5;3.55282191;363.5569725;98.74286652;0.695788332
GC1;04.11.2016;n2-m-a1-l5;2.460405188;372.4710189;80.83152008;0.697088865
GC1;04.11.2016;n2-m-a1-l5;0.047274025;389.1967387;58.9888382;0.701494637
GC1;04.11.2016;n2-m-a1-l5;0.378155874;388.6806041;40.92052841;0.72953535
GC1;04.11.2016;n2-m-a1-l5;-0.839331163;396.4670726;31.39930344;0.733523736
GC1;04.11.2016;n2-m-a1-l5;-2.309427463;409.6483552;0.82823354;0.777375479
GC1;04.11.2016;n3-m-a1-l5;18.4139044;339.2497492;1301.614746;0.237286601
GC1;04.11.2016;n3-m-a1-l5;17.24700477;322.737557;998.473938;0.305372126
GC1;04.11.2016;n3-m-a1-l5;14.28074395;335.3617145;500.725769;0.475867441
GC1;04.11.2016;n3-m-a1-l5;7.26198436;357.9079937;200.8730011;0.613162679
GC1;04.11.2016;n3-m-a1-l5;4.267747976;369.6805461;124.5033493;0.650316366
GC1;04.11.2016;n3-m-a1-l5;2.566426722;374.7435576;98.77753448;0.669138647
GC1;04.11.2016;n3-m-a1-l5;1.975922126;377.14184;80.77074432;0.686123432
GC1;04.11.2016;n3-m-a1-l5;0.827574619;383.8483095;59.12896729;0.700254503
GC1;04.11.2016;n3-m-a1-l5;-0.186296466;391.5896728;40.77632904;0.716338048
GC1;04.11.2016;n3-m-a1-l5;-0.297696236;392.7540865;31.34915352;0.719459253
GC1;04.11.2016;n3-m-a1-l5;-2.729962891;417.4748913;0.710770607;0.773988175
GC1;04.11.2016;n1-m-a1-l5;30.13303695;334.8697009;1299.233765;0.378166154
GC1;04.11.2016;n1-m-a1-l5;27.96044469;306.5961583;1000.576172;0.45779235
GC1;04.11.2016;n1-m-a1-l5;21.26373845;307.474578;499.3653259;0.601777964
GC1;04.11.2016;n1-m-a1-l5;8.373901338;362.8662261;199.7064819;0.682122528
GC1;04.11.2016;n1-m-a1-l5;4.986010915;373.9353224;123.5368958;0.710478289
GC1;04.11.2016;n1-m-a1-l5;2.588099501;379.4710808;101.6360931;0.721570739
GC1;04.11.2016;n1-m-a1-l5;1.711083445;386.2859014;79.72249603;0.729714379
GC1;04.11.2016;n1-m-a1-l5;0.746915482;389.3042191;61.6161232;0.736819075
